,sentiment,content,label,stop_words
133,neutral,focused tom much see beloved barack oh must vote poor president ha vote,3,9
134,neutral,epicentre wheelock place tourist,3,1
135,sadness,depressed watching think dance,0,6
136,sadness,cross cause stuck twiddling thumb ugh,0,4
137,neutral,miss th,3,0
138,neutral,know like said idea long take investigate stuff,3,9
139,worry,cant sleep im sore move,1,4
140,neutral,awe miss baby,3,1
142,neutral,chocolate never say,3,7
143,worry,achieving new appreciation xml build script really painful cumbersome,1,5
144,neutral,awake ill nap afternoon,3,5
145,worry,cant anything,1,1
146,neutral,still need another hour sleep,3,1
147,relief,work,5,2
148,fun,rip leonardo great mini fiddler crab,4,2
149,neutral,morning tweeple way early,3,2
150,sadness,last day working uni today sad time,0,2
151,love,thanks neemah gon na soooo close izzy yet far,6,6
152,worry,head hurt bad could scream,1,2
153,worry,go im tired airmatras broken somewhere im even pain,1,10
154,worry,new work wellness challenge going well committed check email pm failed first day twice,1,6
155,worry,new blog post blog auto insuran found auto insurance policy expired careless meanw,1,7
156,neutral,bestfriends mia wat,3,6
157,worry,oh men really ca see face mon guy,1,2
158,worry,showing age renewed tag last week went got insurance renewal email today went wan na old,1,5
159,worry,sole supporter sole supporter,1,3
160,hate,n hate finish work still hour left work time,2,9
161,worry,urgh stop guy,1,1
162,sadness,still missing husband really want home,0,3
163,sadness,miss puppy,0,2
164,surprise,day month left mb left onpeak downloads,4,7
165,fun,get memo look amazing,4,6
166,sadness,given pizza kid would never let fav hot one,0,7
167,worry,reading tabloid people life thinking gon na mine baby leaf,1,9
168,sadness,yearling pet home died sad whole family,0,4
169,neutral,fun sun hmmm hell cold,3,4
170,worry,got giant splinter stuck underneath finger nail today muppets hurt got go first aid first time,1,9
171,sadness,hate change course fan life lt oh met rob something went horribly wrong,0,9
172,worry,feeling sad reason,1,3
173,sadness,well fuck new pain med ha odd warning actually applies ca take chan displeased,0,6
174,sadness,uploaded new blog painful story year old man cried wanted die sad,0,9
175,neutral,n think want detail,3,2
176,neutral,hi mary poppins,3,2
177,worry,addicting kind curse night time everytime one feel like making music afterwards,1,8
178,neutral,last tweet send bad phone,3,2
179,fun,omg ur alive lol day ha gone sooo slow going insane grrr anything tonight,4,3
181,neutral,wa watching parental control,3,0
182,fun,get california vintage ahahah best dress want dont ebay,4,8
183,sadness,saw pic past thanksgiving sad grandma wa,0,9
184,worry,wont let,1,2
185,sadness,took shift tomorrow really feel like working right,0,2
186,sadness,money phone,0,5
187,worry,spent last night amp er wife tangled wheel daughter amp hit deck dislocation amp fracture resulted,1,4
188,worry,day ready visit torchwood see heard anything,1,6
189,surprise,bris ca hear thunder,4,5
190,surprise,bec fat food winner fat food weeknend ill beat,4,4
191,sadness,bad red devil disappointing say least,0,3
192,surprise,dream pretty pretty beach wa beach woke,4,8
193,sadness,ware se fast enough x ssd raid mhz iop hpt might try adaptec ghz,0,6
194,surprise,da heck garage man get ask,4,5
195,worry,ate mandy please forgive really sorry wan na lose bff,1,4
196,hate,umm yeah probably pretty good note self eeeeeewwwwwwww,2,3
197,worry,plane ticket expensive,1,3
198,fun,umm yeah probably pretty good note self eeeeeewwwwwwww,4,3
199,worry,need job badly,1,0
200,sadness,daaammmnnnnn wish wa,0,2
201,worry,went di bella coffee roaster today asked job person needed speak holiday fb,1,6
202,sadness,played latter part voodoo village part co op lost usual partner,0,5
204,sadness,bad friend,0,1
205,neutral,happy birthdayyy hope awesome day see next last night,3,5
206,hate,im shit right im vacation got workin,2,7
207,neutral,ill oir,3,4
208,neutral,guess go girlie still gym work,3,6
209,hate,would wish severe migrains would stop doc prescription arent working,2,1
210,love,missed game,6,1
211,sadness,internet last night er wa brill wa massive explosion end nearby gas work er standby,0,6
212,hate,cuz airline super lame,2,1
213,sadness,still pity come lamb though,0,3
214,sadness,sorry hear optimist thing get better u,0,10
215,relief,done painting bedroom furniture still table wait move uggh moving heat,5,12
216,hate,tired insomnia,2,5
217,neutral,hungry fool ill probably never see krispy kreme enjoy closing,3,7
218,neutral,airport didnt show tonight homo,3,3
219,hate,hate bakersfield hate port let go home already want start vacation,2,6
220,neutral,,3,3
221,neutral,looking desktop twitter app actually let access url suggestion liked twittle linking,3,7
222,worry,people house know close door,1,6
223,surprise,completing facebook quiz time morning especially friday morning,4,6
224,neutral,amp soooo hungry,3,3
225,worry,n like possibility left side brain hurting thing called vp shunt possible death,1,6
226,sadness,cancel wow,0,4
227,worry,want make music profile money know write music know play instrument studio,1,8
228,sadness,yeah sad quot ravenclaw quot account love account bit,0,6
229,worry,hear helicopter flying house kind weird news headache back booooo,1,10
230,worry,oh always lt,1,3
231,neutral,back school suhana last day ft ocu wa okay playing altnoy,3,8
232,neutral,poll wa trying get work powerpoint avail,3,4
233,happiness,took math test today day test teacher say bring calculator luke wa confident teacher decided calcs,7,4
234,happiness,omg concert wa awesome madrigal gave chill almost every piece brook also called alumnus didnt get go,7,6
235,neutral,yeah terrible cockatoo hardest live emotional good thing found though,3,8
236,sadness,late nothin,0,3
237,worry,think vog making sicker think feeling slightly achy,1,5
239,worry,homework sux big time math worst,1,6
240,neutral,would better imo let play song provided start quot get quot black,3,11
241,neutral,wordsaftersex never started,3,1
242,sadness,sometimes wish thing could go back way beginning last summer,0,5
243,worry,downloaded new twitterfon update thinking fixing typing problem new tweet,1,8
245,sadness,feel way guess matter always meme,0,10
246,happiness,minute treadmill done minute today already gon na minute,7,8
247,worry,sooooooooooooo confused,1,1
248,neutral,friend like vaiko nedumaran ltte need enemy wrong advice wrong time led numerous death amp lost cause well,3,5
249,worry,work day,1,1
250,happiness,chillin roomy ca wait zombie clwn cr gon na week,7,5
251,neutral,looove guitar playing think sound magnificent wa better,3,6
252,worry,refund retrieve account take like week hoping thief use hack permaban,1,10
253,neutral,im cry lol,3,2
254,sadness,cute malay girl came seemy room rent sadly think wa guyfreind bit misleading disappointing lol,0,5
255,surprise,epicentre wheelock place unit amp tourist starting today,4,2
256,hate,hate new mt dew commercial one giant mosquito scare gross time,2,10
257,neutral,come knight well hour,3,4
258,worry,super keen drive home rain additional concentration required really wan na deal,1,7
259,surprise,aw ca let secret,4,4
260,surprise,im sorry think stick least compared used look like,4,5
261,worry,transport church wont making im crushed oh well time assignment suppose throat really hurt,1,6
262,hate,hate see pregnant woman smokinggg sooo irresponsible selfish saaad ultimately baby one suffers,2,6
263,hate,lie lie lie cant avoid lie practically everything,2,4
264,neutral,twittascope rocking sock go away already,3,3
265,neutral,driving back home forgot piece cake,3,4
266,worry,tried jumping without trampoline like thud thud eaten cookie,1,7
267,sadness,everytime send email coach feel need practice shitty ball lol,0,3
268,sadness,pissing letting follow ericka,0,5
269,sadness,going sleep peaceful wanted hear say good night happen good night everyone,0,7
270,sadness,mum trying make feel ebtter stopping voting adn winning shortstack almost cried,0,5
271,neutral,wa close taco one spot late,3,4
273,surprise,thinking much work,4,5
274,worry,forgot live jonas brother facebook,1,5
275,sadness,n seen muffin two whole day,0,3
276,sadness,miss back give regard,0,2
277,surprise,gap year going quick,4,3
278,worry,admit bit bummed friend walking today,1,8
279,neutral,girl blunt soooooooo thought right absolutly great day stressor come home,3,8
280,worry,twitter ha hacked,1,3
281,sadness,found mj mouse flat dj course none left size,0,7
282,neutral,wont time buy need new binder pa,3,3
283,hate,hahaha well try ugly,2,2
284,neutral,man ulduar hard,3,1
285,worry,n even want know know vhemt go miss,1,7
286,fun,awesome weekend ca go moving sat lot fun though,4,11
287,neutral,night night twitter world still cant believe thomas thing tomorrow gunna fun sad,3,2
288,neutral,happening,3,5
289,surprise,oh hug,4,1
290,neutral,bored wa talking someone busy something else kinda bummer idk,3,7
291,sadness,knoww thing wo samee lt,0,2
292,worry,omg ness pm need beup early set garage sale start wish said beat,1,6
293,happiness,kno doooo yall partyin,7,3
294,worry,okay twitter suddenly changed respond message,1,5
295,neutral,ugh dad told read article kavya shivashankar spellin bee girl like,3,11
296,worry,decided matter good hair look curly justify burn get curler hand covered suck,1,9
297,sadness,going sleep gon na fall asleep playing apps tmrw going suck,0,3
298,neutral,yea got ta,3,3
299,hate,hate bf beat da dog guess way teach pitt,2,9
300,worry,sprained ankle like really badly tore stuff hurt birthday weekend,1,4
301,sadness,ca believe metal gear solid song wa stolen disappointed,0,3
302,hate,think may broke toe bar tonight thanks drunk girl steppin,2,7
303,neutral,one sale done today work explored balcony big theater coworkers fun day void chili fry tip,3,7
304,sadness,wish left dead first need something play,0,6
305,neutral,,3,2
306,neutral,story reminds living portugal,3,3
307,neutral,youre diabetic dad amp might sure still allowed eat sugar throughout day,3,10
308,happiness,spilled beer leg wasted half beer home met cute girl good conversation,7,5
309,hate,roommate love ignore,2,3
310,neutral,make nacho tomorrow better would made,3,8
311,neutral,yeahhh amp dont judge pillow,3,1
312,relief,scary lightning thunder glad going sleep hope late school tomorow haha,5,8
313,sadness,teeth head hurt,0,2
314,sadness,hate rob zombie movie amp smell weed vommmm,0,3
315,hate,math science strongest think dunno bout geography like day study year work,2,8
316,boredom,waiting line tryst,3,1
317,worry,hope get job cuz need apartment drunk amp miss lil punkin tehe,1,4
318,worry,got home wanting read last chaper breaking dawn cause dont want beover,1,6
319,worry,need held gnite,1,3
320,worry,hanging sam billy veronica going school tomorrow take sam body shop dang car accident,1,5
321,sadness,arrested development sad,0,3
322,neutral,wicked time leaving come cant stay night,3,4
323,sadness,omg keep losing follower sad want one day thats goal,0,5
324,sadness,feel deflated doggy,0,4
325,worry,wan na see hair hows everyone,1,1
326,sadness,empty trash mac wa one difficult thing ever done life picture gone,0,13
327,sadness,im contacting paw philippine find quot tiger quot new owner im sad love dog soo much,0,3
328,sadness,got home wanting read last chaper breaking dawn cause dont want,0,8
329,worry,aww pray arroyo family everyone,1,2
330,neutral,manual process taking ever outlook database pffff crappy msft product,3,5
331,sadness,fuuudge movie store closed,0,1
332,sadness,alo sad quiet empty tonight,0,3
333,hate,hahahaha horrible others singing sure could work wish could afford drum set,2,8
334,worry,never answered dm sent need info,1,2
335,worry,trying get pilot first season friday night light oh gosh pa tissue,1,5
336,sadness,aw headed cancelled trip aussie,0,6
337,worry,cystic lacrimal infectection eye face swollen hurt,1,6
338,worry,n think anyone caught,1,2
341,neutral,oh nevermind think thing unsalvageable,3,2
342,neutral,lyin bed faaaaar early,3,3
343,sadness,sad christian lacroix file bankruptcy,0,3
344,sadness,dont feel good fuckkk,0,3
345,boredom,agree work double shift,3,3
346,worry,look like never go zoo,1,3
347,worry,ohh poor girl email relying october mr,1,8
348,neutral,medhurst play,3,3
349,worry,bad time,1,0
350,hate,aarrgghh fu hose ha leaked water new floating floor,2,4
351,sadness,go dreaded dmv tomorrow,0,3
352,neutral,bit ben thai ed,3,2
353,happiness,english class working interactive oral,7,1
354,worry,thank rec work,1,6
355,neutral,sorry excited tomorrow night karaoke getting anything special bday,3,2
356,worry,puppy gizmo h haha still growl always look back long pruple scar fingie,1,4
357,worry,n know ima work tomorrow wit body dis sore ugh,1,5
358,neutral,,3,2
359,neutral,yeah plus little far walk pinocchio sushi,3,5
360,worry,feeling pressure head always kick nasty headache looking forward,1,9
361,sadness,taylor swift joe jonas looked really good together kinda sad broke,0,4
362,worry,suppose turn sentence outline research paper within hour online neck hurt,1,7
363,worry,lady across way miscarriage say prayer,1,2
364,sadness,god want sleep,0,2
365,hate,ohhhh thunderstorm boo always make power go,2,7
366,worry,feel deflated doggy,1,4
367,sadness,found book starting real paper bound journal tonight annoying zit lip make look like herpes,0,5
368,hate,ratt rocked nashville tonite one thing sucked encore like still fun show pearcy ha hott bad boy look,2,6
369,worry,feeling bad got bad news mum,1,4
370,sadness,dun wan na,0,1
371,sadness,damn girl ya got ta let know get kit together amp got flyer next weekend quot,0,9
372,sadness,dbl booooooo sick flippin blow bahaha kno dont many friend either feel lame haha,0,6
373,neutral,thats wa thinking time gon na,3,9
374,neutral,peep still fun time got ta sleep tho work cool hot chick none cool ____________ missing,3,7
375,worry,n feel like working think tweet often,1,3
376,sadness,feel sick stomach idkk whyy,0,3
377,worry,vineri nimic special sau probabil un alt weekend pierdut,1,0
378,neutral,counting hour lost sunshine weekend,3,3
379,surprise,dude saw sf pic look like mini excursion wa pretty kick see sun wa tho,4,6
380,relief,home safely hungry,5,2
381,sadness,um wa thrown van yesterday taken er,0,6
382,worry,got final table went third think getting free seat,1,7
383,neutral,good morning work morning gutted lol nevermind,3,1
384,hate,work morning friend get party stupid bberry lite flashing red message,2,11
385,happiness,fb boring wan na sing right,7,3
386,sadness,link work,0,2
387,neutral,hahaha know anyone anything except power lol live bubble,3,9
388,worry,humpalow um ya think cell dying,1,3
389,worry,last day work sick bone,1,3
390,worry,feel like house arrest,1,2
391,neutral,love like war easy begin hard end fiuuhh,3,2
392,surprise,ur supposed bk tho,4,3
393,worry,know shortage shell crab use beach due beach comber sad,1,12
394,surprise,oh nighty night,4,1
395,happiness,must new music wo sleep give chapter might die first though hurry,7,3
396,sadness,stupid tooooth hurt,0,1
397,love,love song quot together quot quot quot song well think still,6,7
398,neutral,ready go school,3,1
399,sadness,computer broken broke laptop use phone ahh still cause fucked order,0,10
400,neutral,good holiday chalet sight look similar one going home today,3,9
401,worry,sad economy heard another friend losing job sad reminder,1,7
402,worry,starting feel really panicky anxious something bad ha happened co seems like age,1,7
403,worry,dog ran awayyy,1,1
404,hate,suck bad,2,2
405,worry,back top molar extracted swollen face numb toothache sinus pain,1,6
406,relief,finished hour texas life insurance ce tonight hour go,5,4
407,worry,doe anyone know good rap song need make rap fun cd idea helllllpppp,1,5
408,love,want go peru summer ahhhhhhh hopefully yesyesyes miss,6,6
410,sadness,awake anybody else awake wish lived since fun happens asleep,0,5
411,hate,charle power lol damn savemart lost power could buy beer,2,7
412,sadness,heehee love tired,0,2
413,worry,mobile phone refuse charge either battery broken chargerrr booooo,1,5
414,worry,oh wish would get sign something send let call meet something,1,9
415,worry,hmmm thought sleeping bad ca see video tomorrow night,1,4
416,sadness,morning everyone sorry going early last night bad news felt totally crap today new day,0,3
418,sadness,wish parent put chinese school wa younger much easier get job,0,11
419,relief,yeah physically moving apparently reporting directly mr hayward,5,4
420,neutral,airport didnt show tonight homo,3,3
421,worry,jealous look like schindler list toronto,1,2
422,enthusiasm,want another tatt,4,1
423,neutral,come erock left bah,3,7
424,enthusiasm,need make lot money tomorrow,4,3
425,sadness,room make sad,0,4
426,worry,nearly fell asleep wa jolted bed massive panic attack sure sleep,1,12
427,neutral,gay made tonight,3,3
428,sadness,oh ck completely forgot thirsty thursday oh gaga suck,0,3
429,sadness,one people wrong world blame people great world living shit,0,13
430,surprise,nope sleeping cuz live east coast,4,5
431,neutral,bet cool sr huh n stopped sweating since noon dad packing,3,9
432,sadness,eww dislike,0,0
433,worry,tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing try uni,1,6
434,neutral,decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,3,4
435,sadness,sorry bout cat,0,1
436,neutral,need increase salary,3,5
437,worry,stomach feel like touching ground full,1,5
438,love,pug woke incredible sleep,6,4
439,love,wait hear new album sure amazing please replay love much,6,12
440,worry,sooo much work little time,1,1
441,sadness,missed iron chef,0,0
442,sadness,version suck,0,2
443,sadness,bad day,0,1
444,enthusiasm,know ridiculous never got hang love chicago want go shopping trip sound like fun,4,5
445,hate,hate net ayaw bumukas ng twitter,2,1
446,worry,ugh internet wa,1,2
447,surprise,omg didnt tweet much today sadness,4,2
448,worry,feeling giddy wan na go home,1,3
449,neutral,week wasnt without adam lambert performance,3,4
450,neutral,link work,3,2
451,worry,packing last day youth camp,1,5
452,neutral,gossip girl coming back chaceeeeeee,3,3
453,neutral,smh hiphop nursery rhyme,3,0
454,worry,somebody please save polar bear,1,1
455,happiness,noooooooooooo look lot picture lol lol,7,3
456,surprise,really sleepy bored right word much work,4,4
457,worry,ha come attention yo friend recently gained ton weight know wa,1,10
458,worry,guess im staying home tonight movie ing,1,3
459,sadness,went cd store search cd,0,4
460,worry,reminds weather month ago wa horrible hope well hug,1,6
461,sadness,miss mom quot may angel lead quot,0,4
462,love,really android twitter app tweetie calibre,6,3
463,hate,jacksonville beach walking cold water work morning ily lt gt,2,7
464,neutral,,3,3
465,sadness,feel way every day,0,2
466,sadness,ca sleep suck one day sleep get go shopping mom ugh,0,7
467,neutral,well got home till tmw comcast right didnt miss,3,9
468,sadness,sleppytime really missing godfather right love wayne,0,3
469,sadness,headache right suck,0,5
470,worry,hope ya sleepin well guy still,1,1
471,fun,finished color drawing come,4,6
472,sadness,lakers baby lakers miss game tmwr work keep posted please,0,6
473,sadness,comfort food day pan mee though didnt taste good,0,4
474,worry,damn drunk hot suck,1,2
475,sadness,miss baby,0,1
476,worry,sleeping ha paperwork,1,6
477,worry,showered ice cold water sweating mean one thing sick,1,3
478,worry,midnight cry wish person wanted wanted right,1,3
479,neutral,need follow real quick cause ca dm,3,3
480,sadness,poorly ca sleep,0,2
481,worry,went pole class feeling discouraged hopeless cone dancing sexy move spreading leg,1,6
482,worry,poor unfortunate soul appear pant,1,8
483,worry,told often wash hair would never speak,1,7
484,worry,look like another sleepless night dedicated homework sorry advance chapman,1,2
485,worry,lot mock,1,3
486,worry,didnt say goodnight,1,2
487,hate,pussy damnit sending mail right btw,2,5
488,sadness,ha work tom,0,0
489,neutral,hongkong international airport ha wait hour next flight cebu,3,5
490,neutral,ca sleep nothing tv,3,2
491,love,pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,6,11
492,neutral,oh superseeded good enough,3,3
493,sadness,today say goodbye second good friend week dmp least sun shinning definately working pm,0,12
494,anger,fuckin transtelecom,2,0
495,boredom,really really bored guess go bed,3,3
496,worry,met stranger min ago wa stalking store,1,5
497,surprise,tee beefin wa supposed leavin,4,5
498,sadness,sometimes thing say hurt one love unintentionally never ever take back fix,0,7
499,sadness,suck,0,1
500,neutral,iiii know mean,3,1
501,sadness,fever dont feel work,0,2
502,worry,taking horse pill hoping get sleep tonight,1,2
503,neutral,pgpm student wa pgpm student year back wish could stay one,3,4
504,sadness,missing day ca pa quick enough,0,0
505,hate,hey school hate place,2,2
506,sadness,working home today back killing doctor physio later today,0,7
507,neutral,back work distraction,3,3
508,happiness,demi say hi enough replay please love much,7,8
509,neutral,awwww never noticed,3,1
510,neutral,suck well state start tomorrow im headin bed nitey nite,3,2
511,worry,look like going nice work today annoying choice,1,8
512,neutral,guy keep set list forgot ask one xx,3,4
513,neutral,first impression silverlight sadly based saw today quite problematic,3,4
514,worry,desperatly hoping dad take vanessa game,1,4
515,worry,hi fuck job,1,1
516,sadness,missing deeply,0,2
517,neutral,time go bed get go work,3,5
518,happiness,big vanessa going september going fast hard cuz im workin much miss alot,7,10
519,sadness,sniff sniff take care ravel hopefully chatting soon mean time hella miss,0,7
520,neutral,lucky want teleport,3,2
521,worry,somebody please save polar bear,1,1
522,worry,nose runny head pounding teeth hurt like bitch man feel awful,1,3
523,sadness,n want leave,0,4
524,relief,headin home refreshed mind soul justa lil bit bac reality,5,3
525,happiness,good lord seen agency work upcoming open day money jam,7,4
527,anger,working fridaaaayyyyy,2,2
528,worry,grove drag hell hope suck,1,8
529,worry,feel like shit saying happy belated birfdayy month late,1,4
530,sadness,lmao thats sad kinda discourages rom goin shit wack,0,3
531,surprise,got home work finished cleaning need eat dinner know want ugh oh well might eat,4,8
532,sadness,wish wa,0,1
533,sadness,miss little batty wa month old got sick wa always fun full life lt even end,0,11
534,neutral,fc finally time hate keep happening,3,7
535,neutral,seriously bored without anyone talk tired enough sleep,3,4
536,sadness,morning hate morning offensive,0,2
537,neutral,still give computer break omg,3,1
538,sadness,bed bed bed never answer text anymore thought day sent one never heard back sad day,0,7
539,neutral,,3,2
540,sadness,waah longer peep,0,3
541,sadness,lol wow dawg sound like playing feel bad haha,0,3
542,surprise,extremly deep,4,0
543,happiness,little foster kitten getting big chubba winston going missed get amazing home,7,5
544,enthusiasm,one week till exam block,4,0
545,neutral,home cat right,3,6
546,worry,hoping fail english would sad,1,4
547,worry,know would great shoulder stop hurting sleep normal want need solid hour good sleep,1,11
548,neutral,leno last show wa tonight like better conan,3,2
549,sadness,sorry bad driving experience,0,3
550,neutral,n,3,5
551,sadness,already miss,0,0
552,hate,plan may change nooooooo,2,0
553,hate,sister douchebag,2,2
554,surprise,relisting fee complete sale suck,4,5
555,neutral,random ha,3,2
556,worry,knew worn sars mask plane socal feeling beginning sore throat,1,6
557,sadness,gutted bathroom still free early work going happen need loo,0,5
558,neutral,july long,3,1
559,worry,awww wish could stuck jab eye knitting needle,1,10
560,surprise,wonder mnet show,4,5
561,neutral,wearing glass give headache,3,1
562,enthusiasm,stop talkin food haha fill like sum nw hha hows day goin starting,4,3
563,worry,finished sewing night uploading picture slidebar beach cant believe difficulty twitter,1,7
564,sadness,thank cant wait ummm btw ima crash still sick,0,1
565,sadness,first work computer home laptop fucked,0,3
566,worry,liesgirlstell guy call phone see number real ohh phone working try tomorrow,1,6
567,worry,beer friday melbourne cbd mtub mini cmon thirsty lonely bugger making feel like scotty mate,1,5
568,worry,know came back st lose lead last minute,1,7
569,worry,gosh summer vacation almost philippine kinda sad wonder section,1,9
570,neutral,page twitterworld vote,3,6
