,text,label,stop_words
104,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,0,9
105,feel like thing getting little overwhelming spritz toner really help calm soothe,1,8
106,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,1,16
107,feeling festive today even going put tree soon finished catching week going ons coronation street,1,16
108,finding ill seriously,1,5
109,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,0,11
110,feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,1,10
111,feeling useful,1,3
112,feel like pain imagine becoming passionate group idea causing pain,2,13
113,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,0,13
114,im feeling homesick yet im feeling alright,0,4
115,dance feel pretty,1,2
116,workout every morning feel fabulous,1,5
117,feel eye touch word eye know assuredly return love know shall vain,0,16
118,feeling fabulous friday morning started get awful cramp work,1,7
119,feel honoured able call friend share brotherhood,1,6
120,begun feel apprehensive thick black rain cloud stormed sky town,4,7
121,stated reason feel fearful feel unsafe,4,8
122,feel like getting shaken tsa quite yet pulled side creative croissant lunch,4,12
123,get group feel really awkward overcompensate talkative getting really quiet,0,7
124,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,2,15
125,feel pretty safe blog img src http,1,6
126,feel pretty eager get done fun plan quilting,1,7
127,feeling horny ask let go home,2,5
128,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,4,17
129,feel stranger strange land raising son place father ancestral home,5,14
130,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,1,11
131,feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,1,15
132,still feeling strong,1,2
133,burst tear devastating release feeling thought seemed know rich also go space without dumping,1,19
134,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,3,10
135,suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,4,15
136,clench corner bed feel assured,1,4
137,also feel like selfish grateful life amazing thing,3,11
138,called god seen god book figured god right name feeling utterly affirmed accepted without question,2,11
139,know perhaps girl office nice short hair perhaps feeling rebellious,3,12
140,feel miserable family type celebrates eid,0,10
141,might go get car wash feeling really generous car need,1,6
142,still feel sleep deprived almost sleeping night giving u,0,5
143,feel really violent right,3,3
144,bloging sitting feeling content dog amp cat etc know lucky truth,1,13
145,started feeling funny friday woke sick dog,5,6
146,feel need protect parent witch hunt repressed memory therapy,0,9
147,feel disgusted even associated woman race nationality,3,8
148,laughed bitterly wasnt feeling bitter,3,4
149,know feeling thought wished could u u knew however much hated first experience would remember forever,0,20
150,feeling quite mellow wanted soft easy look wear beginning cold,1,8
151,told maybe need time think ive feeling indecisive thing lately,4,8
152,still feel genre disservice story resolved artifically,1,7
153,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,1,16
154,remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,4,15
155,could feel whimper thought unloved uncared,0,8
156,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,5,18
157,im sorry wasnt humor post im feeling funny,5,8
158,feel ive got foot door fantastic world walking running trail fell mountain,1,6
159,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,3,14
160,feel strange coming back work one day holiday,4,4
161,im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,3,9
162,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,0,20
163,could claim redeem genre leave feeling entirely frustrated point beating head wall either,3,13
164,feel sad hopeless,0,3
165,im getting feeling class little intimidated concept lit,4,7
166,still feel groggy get routine son,0,9
167,feeling view isnt going popular thats fine,1,8
168,want hold feeling shocked awe wonder forever,5,5
169,heard rumour st year exam result fear might one failure,4,10
170,want feel valued appreciated know people love arent going anywhere even nature relationship change,1,9
171,know day feel distracted,3,6
172,use regularly relaxing music always feel invigorated afterward,1,4
173,im feeling distracted tend practice eye shut much possible,3,5
174,feel like perfect see youtube influence even know trend,1,4
175,specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,4,7
176,also feel weird sleeping bed two slept,4,11
177,wish okay thinking earlier today thing cooped amp restless made feel needy,0,13
178,ive lost weight could fit tiny skirt ive unable wear didnt feel confident,1,13
179,hope feel bit creative soon miss presence life blog,1,9
180,fan current president conservative made feel unwelcome,0,9
181,enclose verse could weigh much thinking feeling curious hear odd couple,5,9
182,begin feel complacent life,1,5
183,feel vulnerable alone,4,2
184,remember feeling inspired thinking fine example parenting,1,7
185,feel like always one getting punished stupid thing feel like chastised behaving,0,6
186,really feel life perfect right isnt much ask hope everything would stay,1,14
187,im simply feel contented,1,2
188,im saying cut everyone life feel important find comfort solitude meditation working project alone,1,11
189,think im stupid feeling nervous,4,3
190,feel honored,1,3
191,feeling act god work life amazing feeling,5,9
192,feel im like bird flying air carefree manner,1,5
193,revise reply mind make sure reply sound appropriate enough person receive reply feel offended,3,14
194,felt sad friend mine died felt something irrevocably gone away,0,9
195,died would alex matt feel regretful coming visit,0,5
196,feel educating family supporting educationg mama papa key,1,4
197,im sure lost feel like everyone hostile toward hate feeling,3,10
198,feel like boring sewing make since easy nothing else say fabric usage,0,14
199,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,1,7
200,feel like talented young man feel talented work,1,6
201,feel curious thing around,5,4
202,feel reason apart others life im help become something push succeed successful happy,1,13
203,feel uncomfortable guess,4,9
204,feel pretty mellow far whatever healing wounding process may getting underway,1,4
205,wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance,4,10
206,leg would feel shitty mile would come around like always,0,7
207,know unfair reaction run way explain feel shaken best come right,4,15
208,seriously feel blessed support home amazing,2,9
209,feel abused maligned mostly tired nervous feeling anticipating danger,0,5
210,feeling pretty restless right typing,4,5
211,know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water,2,18
212,admit hilarious card seriously exactly feel stressed feel moment could start hy,0,11
213,wrote last year feeling dull inarticulate normal,0,6
214,id kick gear feel irritable motivation ever,3,9
215,feel child innocent feeling illustrating,1,3
216,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,2,15
217,start feel resentful,3,3
218,spend vacation obligation headache feeling like emotional blackmailed three place,0,11
219,feel herpes coming would surprised point make checkup clinic wednesday,5,13
220,feel fucked like everyday life,3,4
221,ive worked really hard year try make child class feel like valued,1,7
222,feeling disheartened word late,0,6
223,feel like bitchy time upon retrospect think trying shake,3,15
224,still second guess still terrible time making definitive decision certain truth know feel assured truth,1,13
225,feel like egg benedict something equally delicious,1,5
226,im feeling way trusting,1,4
227,im feeling inspired summery element favorite past time beach bummin,1,5
228,feel smiled love even gorgeous,1,6
229,continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,0,16
230,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,1,10
231,say feel sympathetic,2,5
232,feeling eager hopped tube ride eye london,1,8
233,go online see friend talking another one talking feel ignored feel unloved,0,7
234,monitoring say anything ever come across blog feel offended please dont stop,3,16
235,feel like weird cancer one time,5,5
236,want feel safe well maybe maybe small chance feel joy dream come true,1,8
237,im feeling cranky,3,0
238,also think puzzling particular administrator singled praise ability get student read feel ssr time productive use class time,1,17
239,tried fill befriending people knew using didnt care needed feel accepted even complete loser,2,13
240,feel stressed always,0,1
241,remember feeling another cramp also ignored,0,3
242,hope feel mellow well fed well slept peace within external world,1,5
243,also learned take lot effort positive thinking break tear feeling exhausted guilty better mom,0,14
244,im feeling awful hung friend new baby day,0,9
245,feel relaxed fine,1,3
246,feel suffering really feel pain,0,3
247,go sleep feel giving precious time something else life,1,9
248,feel like neglecting beloved mom blog,1,4
249,shalt say co din feel thing wrote hw keen xxx,1,8
250,feel terrified like im edge precipice staring ahead,4,6
251,feel totally listless exam come gone whole five month front uni free time,0,12
252,feel furious right life advocate tell live die lobbying supporting politician sympathic view,3,11
253,feel abused way,0,6
254,im still paying attention feel distracted,3,2
255,started third block feeling hot cold tingly time knowing still five hour examination ahead idea would good,2,16
256,im hesitant make suggestion feel outcome would sincere,1,8
257,feel terribly fond majority precise time,2,7
258,feel gaining control damaged good aspect personal security,0,7
259,bombed first interview left second interview feeling pretty fan freaking tastic,1,4
260,think kind taken u long build good inventory sauce oil spice non perishable feel like chance making something delicious without specifically go buy every single item recipe,1,15
261,feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window,1,17
262,feel victimized drag country head sand traditionalist hesitate call conservative fear offending real honest god conservative still think world created year ago stuff like skeletal remains kind hoax,0,17
263,would feel lucky call material kit site mine beautifully curated,1,11
264,blood proved reason feeling lethargic rubbish low iron prescribed iron tablet,0,14
265,mind feel like mind dangerous life,3,7
266,feel like love everyone least compassionate toward others,2,4
267,feel punished neglecting,0,7
268,feel like doesnt capture beauty lovely polish,2,6
269,feel like lost main root feel le secure emotionally financially socially,0,6
270,feel like bite bullet every time think feel stressed im fully supported decision,0,13
271,know obnoxiously immature sounding verbal tic voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,0,17
272,id terrible nightmare feeling little disturbed,0,5
273,didnt want walk passed case customer feel disturbed,0,6
274,want sufferer able find hope battle help feel alone,0,14
275,feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,4,7
276,festive feel delicious wheeeeee great night,1,6
277,looking forward beaten feeling like disappointment husband emotional pain,0,10
278,im sick feeling crappy,0,1
279,feel like almost convinced going pattern,1,7
280,also wear im wearing dress make feel slutty feel like antique underwear obviously little bit edgy maybe little bit little bit,2,11
281,feel perverse pride self control managed stay ordered reach tempting human flesh close u,0,14
282,feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic day,3,9
283,positively giddy kid left morning last official class year im feeling little sad,0,12
284,feel supportive also cant help feel jealous,2,4
285,mainly like text feel like much clever written word rather spoken,1,9
286,seriouly feel respected dont privacy ordered around,1,6
287,said word devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotee consider true devotee hence unworthy benefit aspect personality,1,20
288,personality feel pain suffering,0,4
289,guess would feel like joseph walt trusting care mother finance six month died time want defend self god make quiet,1,18
290,warming starting feeling little lethargic,0,4
291,feel excelent sometimes nothing especially since im really keen video game anymore watch bit anime movie got life,1,15
292,wonder master feeling wanting eager please master could much enjoy attention wrong desire return affection,1,21
293,im feeling little bit positive thing quite hard first saving eaten quickly cost didnt want become burden boyfriend weve come end im feeling brighter inspired thing come,1,17
294,im feeling rather sentimental right say feel lucky max mom,0,8
295,make show feel isolated crowd ill know wrong anti social feeling,0,8
296,ive learned turn emotion often find feeling completely blank mother cry continuously suicidalness,0,12
297,feel loyal style,2,2
298,understand may feel youd rather bit vulnerable homeless london precise way,4,11
299,finally stop feeling listless like waste space,0,5
300,know im feeling agitated side effect high dose,4,9
301,feel shift positive,1,8
302,feeling brave enough,1,2
303,fear thief,4,1
304,feel clever nov,1,1
305,always spend money mean feel dissatisfied exit store,3,8
306,im feeling really quite angry,3,0
307,feel kerry didnt supporting civil union gay equality,2,4
308,feel really ashamed,0,1
309,feel amazing people life,5,6
310,finally left feeling judged ridiculed intelligent,1,4
311,starting feel bit insulted stranger,3,6
312,many day feel hopeless today light end yellow brick road shining little brighter,0,10
313,actually feel sorrowful,0,1
314,see woman wearing boot feel envious want curse,3,4
315,feel feel tell together apologize make keep loving bit bit,2,10
316,go say feeling impressed youre naomi klein right,5,8
317,began feel sens dull cold black unconsciousness came,0,9
318,suspect feel le fond private,2,3
319,honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,1,15
320,wonder cast caveman told perfect part feel insulted complimented,3,13
321,feel convinced plus many diverse price tag feel sure everyone come fund plot lighted relatively economically,1,11
322,feel empty baby isnt,0,4
323,stopped feeling exhausted href http provokingbeauty,0,3
324,im feeling font friendly,1,0
325,hand bead consciously breathing consciously working feel calm list thing accomplish afternoon,1,8
326,always feel intimidated people especially always compare people ever since young,4,8
327,made feel rotten,0,3
328,started feeling hostile checking hemorrhoid,3,4
329,love wearing new shoe feel glamourous get pair designer shoe love box trimming come,1,12
330,know largely fact feeling romantic sexual successfully hidden,2,12
331,love feeling something warmly hugging feeling precious small precious someone something,1,8
332,im feeling far mellow normal,1,2
333,became dismayed studied people wearing started feeling like though outfit gorgeous bought way,1,11
334,dont want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid im feeling brave,1,17
335,im feeling lucky width li style border px list style outside margin px px,1,0
336,recall high school feeling longing watched olympic runner feel st,2,6
337,woke feeling confident watched bodypump dvd gather coaching tip compulsory cue,1,6
338,didnt say strong feeling always make skeptical first,4,5
339,want talk limited time phone current arrangment feel hesitant bring,4,14
340,beginning feel good chance might pas,1,5
341,feel like little control help sweet pea better know ahead,1,9
342,feel like receiving end violent attack,3,6
343,feel worthwhile document people familiar batch file,1,9
344,feeling especially thankful many small blessing life right,1,8
345,hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,1,11
346,feel like im edge microcosm one awkward moment missed party id outside,0,10
347,feel bit funny actually,5,2
348,learnt nothing else last two year best feel way trusting instinct,1,11
349,feeling also blossoming eager anxiety,1,4
350,feel burdened share,0,3
351,always want nemo side sleeping without feel weird even though doesnt happen often get,5,9
352,im feeling outfit heel gorgeous,1,4
353,feel confused,4,3
354,feel session useful gave tool need move forward life,1,9
355,feel selfish bringing loneliness child know parent newtown grieving lost baby,3,10
356,took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,2,15
357,feel envious embarrassed,3,2
358,could feel frantic need need make,4,7
359,feeling overwhelmed responsibility teacher someone trusting precious gift honor,5,15
360,feel tranquil right great,1,4
361,feel frustrated new music new lyric clearly nothing,3,10
362,thought going talk try work thing shocked find steve decided wanted thing broke feeling unloved,0,20
363,wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,0,5
364,tend stop breathing feeling stressed,0,4
365,smoker year quit week ago right finished book cant believe free feel knew quit terrified life without cigarette,4,14
366,go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thought feeling sensation emerge important,1,13
367,already feeling frantic,4,2
368,feel like insecurity good thing first started writing pictured,1,7
369,feel complimented insulted,3,3
370,crave fall submission feel submissive least,0,8
371,feel tender fine,2,7
372,feel irritated pissed even like someone wake moment edge falling deep slumber,3,12
373,made work feeling little groggy,0,6
374,want love feel like sort hindrance thats keeping loving,2,9
375,feel fond ok second thought really sensitive spelled everything,2,10
376,ill get round quarter im feeling hopeful one,1,4
377,im starting feel unwelcome life people already tell,0,6
378,feel absolutely fantastic hope baby,1,4
379,watched snow fall accumulate conifer tree shoveling shirt sleeve feeling vigorous,1,8
380,feel bitter honkerblonked general,3,5
381,feeling father already convinced,1,7
382,love feel passionate living dream gotten taste feel like nothing stop,2,13
383,play rain squeal glee feeling mud squishing toe enjoy pretty much anything take place outdoors,1,10
384,feeling humorous put cold caller hold,1,3
385,busy stuff never blog thread make feel miserable,0,11
386,feel energized curious life god potential give something back society finding someone heart,5,7
387,feel privileged also lot work,1,7
388,im pretty happy little nauseated side feel thrilled,1,5
389,close eye hear pitiful wailing sound cry taste salty taste tear feel anger hurt saturating heart,0,8
390,bought virtually fat free thousand island feeling impressed hold large quantity substance leaf lettuce cucumber friend total sugar becomes burn fat,5,19
391,im sure folk virginia florida handful swing state agree feel put upon insulted constant barrage,3,10
392,feel like im putting innocent man death row,1,3
393,sure else help feel smart,1,7
394,begin feel every waking moment devoted work,2,4
395,feel thankful lesson learning,1,5
396,feel longing sadness see family child,2,9
397,feel distinctly called clermont focus little one seem naughty,2,6
398,hope feel glad gave many thing including memory cherish,1,6
399,feeling pretty worthless right,0,3
400,feel project clever useful enough figured would start sharing instructables wrote first one weekend,1,10
401,continued think along line probably would done dish anger got wed fight feeling completely abused,0,16
402,didnt feel especially nervous finland landed paris little unsure would ahead u thought st grade student janne suominen,4,11
403,feel envious kid certain moment,3,6
404,feeling like pretty crappy mom,0,3
405,im feeling pissed aac feeling kind miserable frustrated life whole week,3,8
406,im scared anymore im fine feel terrific surgery,1,6
407,still feel vulnerable around,4,2
408,honestly sure feel stunned,5,4
409,feel caring person attract caring people life,2,8
410,im left feeling quite embarrassed say nothing new,0,4
411,feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid thing get worse,0,17
412,may may cried thanking making child feel special loved,1,10
413,really want go buy yardage art gallery play feel amazing,5,9
414,feel like shes losing sense self adapt think loyal,2,9
415,feel burdened several loved one miss big kid havent seen since friday,0,5
416,feel still really low abdomen,0,4
417,feel like welcomed tight knit family make sure feel alone ever,1,8
418,feel doubtful,4,3
419,usually use smaller lego however year student fine motor delay want student feel successful,1,10
420,get exercise feel like im something worthwhile meantime,1,6
421,feel like life rich fulfilling know people look way live feel misplaced pity,1,11
422,feel blessed amazed yes excited,2,3
423,feel hesitant talking,4,3
424,try get least minute day five day week though known skip workout feeling particularly lethargic lazy,0,10
425,feeling beaten sick utterly devoid hope ever life want,0,9
426,feel hesitant comment want add pileon seems clear involved learned past experience interested applying learning future project,4,18
427,feel quite passionate communion tremendous importance personally theologically,2,8
428,im feeling happy well,1,1
429,find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling city,0,15
430,got feeling brig sincere strong desire help others become successful financially also building strengthening relationship christianity,1,10
431,feel like ive fake feeling lot often would liked,0,8
432,feeling energetic decided going bike rest temple,1,7
433,im really like said understand way feel toni ight blamed excess merican dream seldom witnessed never er seen hah hah hah hah hah,0,8
434,happpy get good result field academic athletics,1,7
435,dont know want work always something make feel stressed anxious work whatever job may job require sort rule pressure,0,16
436,id pop chair feeling like something worthwhile,1,8
437,really hoping theyd get far enough ahead u could feel like navigating delighted punching second control headed onto trail wood,1,17
438,feel like normally would angry thats actually think could never beautiful size,3,7
439,wonder many people feel like perspective think sake without wanting turn result crappy work,0,21
440,feel indecisive whether feel book huckleberry finn censored,4,7
441,known like kamiki kun laugh nozomi feel unpleasant knot stomach must think fool nonchan,0,13
442,made choice start recognizing feeling unloved kick choose keep persistence level allowing old reaction shut,0,15
443,feel like im hated celebrated cant wait till day say made,3,7
444,still feel funny writing like maybe call spirit guide really observant cheerleader something,5,6
445,would rather feel nothing feel surprised find life depressing grey unrewarding,5,12
446,feel comfortable decision,1,4
447,get really sweaty episode stomach feel really funny like free falling,5,7
448,feeling overwhelmed lately,4,4
449,learnt much wonderful world beaubronz feel lovely tanning brand fit perfectly latest mantra stolen boudoir lash mother asma docrat,2,10
450,feel rebellious particularly like watching romcoms get feeling may pretty good writing,3,10
451,didnt feel welcomed first entered morris quickly changed left feeling happy,1,5
452,im contemplating feeling skeptical,4,1
453,ive become anxious recent time certainly feeling amongst people belief siege often disadvantaged looked considered way different faith make le worthy regard said,0,17
454,feel like care im bit heartless,3,6
455,hate chemo thought toxin washing every single cell making feel horrible make cringe,0,7
456,feel honoured hosted series talented,1,7
457,love feel threatened around little,4,5
458,feel reading allthingsbucks blog brought tear eye lump throat feeling worthwhile thing upset shouldnt write lame blog,1,15
459,feeling determined didnt take long start nomming naughty stuff,1,8
460,feel honored many wonderful artist display work public see,1,8
461,remember fully stressed fun feel could lively,1,12
462,feel dazed href http twitter,5,3
463,feel bitchy hurting,3,4
464,always feel like ive assaulted pic,0,4
465,im thankful everything seems working wrap week new job also feeling pretty lucky people life,1,17
466,feel incredibly isolated lonely,0,2
467,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,3,17
468,blood test yesterday perhaps im feeling particularly fond right doctor needle inside time spent dizzy head non meat eating nineteen year old female,2,16
469,admit worried feeling isolated work cubicle pretty much unless someone need,0,10
470,im feeling like life fairly sweet,2,1
471,going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insult abuse,3,15
472,feel like year teach get passionate job find love kid want try even harder,2,8
473,im one people bury feeling anger second giving sweet smile even pain anger,2,13
474,knew holy spirit work plus feel divine gooooood way like massage reassuring,1,8
475,feel though ive reached point career im highly respected,1,7
476,make light sometimes feel really awkward small group one one conversation,0,7
477,ive lot good day feel fabulous lot energy lately ive also bad day feel gigantic slow clumsy,1,9
478,also feel like google hated seo know,0,5
479,didnt get wink sleep night continued feeling fabulous next morning,1,8
480,feel like feel mistake time fucked sleep take,3,9
481,love sliding nice big throbbing cock feeling gorgeous body man,1,9
482,found novel position feeling bit uncertain stock market rally,4,7
483,feel like judging want seem like needy girl know,0,13
484,im definitely feeling festive,1,0
485,feel burdened presence,0,3
486,still feel little dazed sort disbelieving feeling oh god,5,7
487,feeling super excited week seem flying getting closer closer due date,1,11
488,turned page feel like way getting back irresponcible year carefree college,1,8
489,favourite choice book dvd u uk im feeling generous limit something like,2,21
490,feeling energetic alive happier long time,1,7
491,feel really pathetic confronted,0,3
492,feel dangerous game activity,3,4
493,feel world class player benzema mould would fantastic,1,5
494,feeling terribly burdened impending anxiety trying keep eye prize,0,8
495,feel could unpleasant layered love healing forgiveness expectation thing turn well,0,9
496,im feeling gloomy completed nothing though im supposed complete many thing,0,4
497,working amount would like feel like lifestyle change successful far,1,10
498,love porn industry feel satisfied fulfilled working say really bring big buck,1,10
499,overhear victory tune geek ringtone feel triumphant,1,4
500,love child literature author feel need dumb thing kid,0,9
501,soo quiet mixture sleeping well feeling bit isolated big group,0,9
502,feel greedy money hungry absolutely,3,6
503,feel fucked want shut,3,6
504,feel passionate certain topic love backing position actual knowledge fact instead relying solely opinion,1,10
505,feel like today way suffering exam day open book everytime went home,0,8
506,feel surprised make,5,6
507,woke morning hike feeling jubilant,1,5
508,feel like little kid whose mom proud touched soccer ball game,1,8
509,feel miserable inside outside like,0,5
510,must find way accept limitation older without feeling held back resentful,3,8
511,feel incredibly charmed people life exciting amazing chapter thing,1,12
512,feel wronged judge people make time however also found actually life need responsible action people around u,3,14
513,know feeling stem part accepted mainstream importantly community seek belongingness,1,14
514,really like special edition really feel special song,1,7
515,feel must blog constantly loyal fan baker thia sandwich scruncher course mini rex,2,10
516,im currently feeling way fucked mother tongue paper,3,3
